Id;Tipo;Corpo Descricao;Data Publicado;Busca Parametro 2;Id Externo
42234100;twittersearch;BOVESPA-Índice sobe e ronda 70 mil pontos na 1a sessão do ano:  http://bit.ly/ibRyyY;03/01/11 12:42;pt;Latinvest
42234102;twittersearch;@dougmoschino to na vibe da segunda mano.... a partir de amanhã começo a me preocupar com a Bovespa hahah;03/01/11 12:40;pt;fabio_bonnies
42234103;twittersearch;RT @lopesbravo: (InfoMoney) Ações da TAM e da GOL sobem forte, após rumor de privatização de aeroportos http://bit.ly/hERgPx #mercado #bovespa;03/01/11 12:40;pt;andre_mauro
42234104;twittersearch;"RT @infopriv: Ultimas - Bovespa abre em alta em meio a otimismo: Agência Estado - O bordão ""ano novo, vida nova"" deve inspirar... http://bit.ly/hgR9eX";03/01/11 12:38;pt;CLAnalyst
42234105;twittersearch;"Bovespa ganha 1,28% e chega aos 70 mil pontos; dólar recua 0,78%, a R$ 1,653 http://bit.ly/fddhiY";03/01/11 12:38;pt;cliqzbrnews
42234106;twittersearch;Economatica: pela primeira vez na história, Bovespa encerra o ano com US$ 1,5 trilhão de valor de mercado.;03/01/11 12:38;pt;alesathler
42234107;twittersearch;Economatica: pela primeira vez na história, Bovespa encerra o ano com US$ 1,5 trilhão de valor de mercado.;03/01/11 12:38;pt;primeiro_milhao
42233363;twittersearch;Importante: Multiplus fecha parceria com BM&FBovespa: Relacionamento será feito por meio do... http://tinyurl.com/2atqvhs #portalcoppini;03/01/11 12:31;all;marcelocomparin
42230946;twittersearch;Empresas na Bovespa fecham 2010 com valor recorde, diz Economatica - pe360graus.com http://dlvr.it/CZm3Y #ibov #bovespa;03/01/11 12:30;pt;equipeidoji
42230945;twittersearch;Economatica: pela primeira vez na história, Bovespa encerra o ano ... - O Globo http://dlvr.it/CZm3f #ibov #bovespa;03/01/11 12:30;pt;equipeidoji
42230948;twittersearch;Empresas na Bovespa fecham 2010 com valor recorde, diz Economatica - pe360graus.com http://dlvr.it/CZm3L #ibov #bovespa;03/01/11 12:30;pt;idojibovespa
42230947;twittersearch;Economatica: pela primeira vez na história, Bovespa encerra o ano ... - O Globo http://dlvr.it/CZm3Q #ibov #bovespa;03/01/11 12:30;pt;idojibovespa
42230949;twittersearch;(InfoMoney) Carteiras recomendadas: confira as melhores e piores performances de 2010 http://bit.ly/i4341J #mercado #bovespa;03/01/11 12:28;pt;lopesbravo
42230950;twittersearch;(InfoMoney) Ações da TAM e da GOL sobem forte, após rumor de privatização de aeroportos http://bit.ly/hERgPx #mercado #bovespa;03/01/11 12:28;pt;lopesbravo
42230951;twittersearch;Como ganhar dinheiro na $bovespa não fazendo nada? Bota um terno e use um gerador de lero-lero http://tinyurl.com/292pc5o $$;03/01/11 12:28;pt;vnslug
42230952;twittersearch;G1 - Empresas na Bovespa fecham 2010 com valor recorde. US$1,5 tri. http://bit.ly/fQuiT1;03/01/11 12:27;pt;banifinvest
42230953;twittersearch;#Mercados: Bovespa abre em alta em meio a otimismo http://ow.ly/1aHNZA;03/01/11 12:26;pt;CVMNews
42230954;twittersearch;Na verdade os aeroportos deveriam ser listados na Bovespa, assim os investidores cobrariam melhores resultados.;03/01/11 12:26;pt;wagner3m
42230955;twittersearch;RT @radaronline: Bovespa supera 1,5 trilhão de dólares http://bit.ly/glwpZn;03/01/11 12:25;pt;pgala2
42230956;twittersearch;Valor de mercado de empresas listadas na Bovespa é recorde em 2010 http://www.folha.com.br/me854107 #folha;03/01/11 12:25;pt;MSI_Marketing
